"","x"
"1","A1BG"
"2","A1CF"
"3","A2M"
"4","A2ML1"
"5","A3GALT2"
"6","A4GALT"
"7","A4GNT"
"8","AAAS"
"9","AACS"
"10","AADAC"
"11","AADACL2"
"12","AADACL3"
"13","AADACL4"
"14","AADAT"
"15","AAGAB"
"16","AAK1"
"17","AAMDC"
"18","AAMP"
"19","AANAT"
"20","AAR2"
"21","AARD"
"22","AARS"
"23","AARS2"
"24","AARSD1"
"25","AASDH"
"26","AASDHPPT"
"27","AASS"
"28","AATF"
"29","AATK"
"30","ABAT"
"31","ABCA1"
"32","ABCA10"
"33","ABCA12"
"34","ABCA13"
"35","ABCA2"
"36","ABCA3"
"37","ABCA4"
"38","ABCA5"
"39","ABCA6"
"40","ABCA7"
"41","ABCA8"
"42","ABCA9"
"43","ABCB1"
"44","ABCB10"
"45","ABCB11"
"46","ABCB4"
"47","ABCB5"
"48","ABCB6"
"49","ABCB7"
"50","ABCB8"
"51","ABCB9"
"52","ABCC1"
"53","ABCC10"
"54","ABCC11"
"55","ABCC12"
"56","ABCC2"
"57","ABCC3"
"58","ABCC4"
"59","ABCC5"
"60","ABCC6"
"61","ABCC8"
"62","ABCC9"
"63","ABCD1"
"64","ABCD2"
"65","ABCD3"
"66","ABCD4"
"67","ABCE1"
"68","ABCF1"
"69","ABCF2"
"70","ABCF3"
"71","ABCG1"
"72","ABCG2"
"73","ABCG4"
"74","ABCG5"
"75","ABCG8"
"76","ABHD1"
"77","ABHD10"
"78","ABHD11"
"79","ABHD12"
"80","ABHD12B"
"81","ABHD13"
"82","ABHD14A"
"83","ABHD14A-ACY1"
"84","ABHD14B"
"85","ABHD15"
"86","ABHD16A"
"87","ABHD16B"
"88","ABHD17A"
"89","ABHD17B"
"90","ABHD17C"
"91","ABHD18"
"92","ABHD2"
"93","ABHD3"
"94","ABHD4"
"95","ABHD5"
"96","ABHD6"
"97","ABHD8"
"98","ABI1"
"99","ABI2"
"100","ABI3"
"101","ABI3BP"
"102","ABL1"
"103","ABL2"
"104","ABLIM1"
"105","ABLIM2"
"106","ABLIM3"
"107","ABO"
"108","ABR"
"109","ABRA"
"110","ABRACL"
"111","ABRAXAS1"
"112","ABRAXAS2"
"113","ABT1"
"114","ABTB1"
"115","ABTB2"
"116","ACAA1"
"117","ACAA2"
"118","ACACA"
"119","ACACB"
"120","ACAD10"
"121","ACAD11"
"122","ACAD8"
"123","ACAD9"
"124","ACADL"
"125","ACADM"
"126","ACADS"
"127","ACADSB"
"128","ACADVL"
"129","ACAN"
"130","ACAP1"
"131","ACAP2"
"132","ACAP3"
"133","ACAT1"
"134","ACAT2"
"135","ACBD3"
"136","ACBD4"
"137","ACBD5"
"138","ACBD6"
"139","ACBD7"
"140","ACCS"
"141","ACCSL"
"142","ACD"
"143","ACE"
"144","ACE2"
"145","ACER1"
"146","ACER2"
"147","ACER3"
"148","ACHE"
"149","ACIN1"
"150","ACKR1"
"151","ACKR2"
"152","ACKR3"
"153","ACKR4"
"154","ACLY"
"155","ACMSD"
"156","ACO1"
"157","ACO2"
"158","ACOD1"
"159","ACOT1"
"160","ACOT11"
"161","ACOT12"
"162","ACOT13"
"163","ACOT2"
"164","ACOT4"
"165","ACOT6"
"166","ACOT7"
"167","ACOT8"
"168","ACOT9"
"169","ACOX1"
"170","ACOX2"
"171","ACOX3"
"172","ACOXL"
"173","ACP1"
"174","ACP2"
"175","ACP4"
"176","ACP5"
"177","ACP6"
"178","ACP7"
"179","ACPP"
"180","ACR"
"181","ACRBP"
"182","ACRV1"
"183","ACSBG1"
"184","ACSBG2"
"185","ACSF2"
"186","ACSF3"
"187","ACSL1"
"188","ACSL3"
"189","ACSL4"
"190","ACSL5"
"191","ACSL6"
"192","ACSM1"
"193","ACSM2A"
"194","ACSM2B"
"195","ACSM3"
"196","ACSM4"
"197","ACSM5"
"198","ACSM6"
"199","ACSS1"
"200","ACSS2"
"201","ACSS3"
"202","ACTA1"
"203","ACTA2"
"204","ACTB"
"205","ACTBL2"
"206","ACTC1"
"207","ACTG1"
"208","ACTG2"
"209","ACTL10"
"210","ACTL6A"
"211","ACTL6B"
"212","ACTL7A"
"213","ACTL7B"
"214","ACTL8"
"215","ACTL9"
"216","ACTN1"
"217","ACTN2"
"218","ACTN3"
"219","ACTN4"
"220","ACTR10"
"221","ACTR1A"
"222","ACTR1B"
"223","ACTR2"
"224","ACTR3"
"225","ACTR3B"
"226","ACTR3C"
"227","ACTR5"
"228","ACTR6"
"229","ACTR8"
"230","ACTRT1"
"231","ACTRT2"
"232","ACTRT3"
"233","ACVR1"
"234","ACVR1B"
"235","ACVR1C"
"236","ACVR2A"
"237","ACVR2B"
"238","ACVRL1"
"239","ACY1"
"240","ACY3"
"241","ACYP1"
"242","ACYP2"
"243","ADA"
"244","ADA2"
"245","ADAD1"
"246","ADAD2"
"247","ADAL"
"248","ADAM10"
"249","ADAM11"
"250","ADAM12"
"251","ADAM15"
"252","ADAM17"
"253","ADAM18"
"254","ADAM19"
"255","ADAM2"
"256","ADAM20"
"257","ADAM21"
"258","ADAM22"
"259","ADAM23"
"260","ADAM28"
"261","ADAM29"
"262","ADAM30"
"263","ADAM32"
"264","ADAM33"
"265","ADAM7"
"266","ADAM8"
"267","ADAM9"
"268","ADAMDEC1"
"269","ADAMTS1"
"270","ADAMTS10"
"271","ADAMTS12"
"272","ADAMTS13"
"273","ADAMTS14"
"274","ADAMTS15"
"275","ADAMTS16"
"276","ADAMTS17"
"277","ADAMTS18"
"278","ADAMTS19"
"279","ADAMTS2"
"280","ADAMTS20"
"281","ADAMTS3"
"282","ADAMTS4"
"283","ADAMTS5"
"284","ADAMTS6"
"285","ADAMTS7"
"286","ADAMTS8"
"287","ADAMTS9"
"288","ADAMTSL1"
"289","ADAMTSL2"
"290","ADAMTSL3"
"291","ADAMTSL4"
"292","ADAMTSL5"
"293","ADAP1"
"294","ADAP2"
"295","ADAR"
"296","ADARB1"
"297","ADARB2"
"298","ADAT1"
"299","ADAT2"
"300","ADAT3"
"301","ADCK1"
"302","ADCK2"
"303","ADCK5"
"304","ADCY1"
"305","ADCY10"
"306","ADCY2"
"307","ADCY3"
"308","ADCY4"
"309","ADCY5"
"310","ADCY6"
"311","ADCY7"
"312","ADCY8"
"313","ADCY9"
"314","ADCYAP1"
"315","ADCYAP1R1"
"316","ADD1"
"317","ADD2"
"318","ADD3"
"319","ADGB"
"320","ADGRA1"
"321","ADGRA2"
"322","ADGRA3"
"323","ADGRB1"
"324","ADGRB2"
"325","ADGRB3"
"326","ADGRD1"
"327","ADGRD2"
"328","ADGRE1"
"329","ADGRE2"
"330","ADGRE3"
"331","ADGRE5"
"332","ADGRF1"
"333","ADGRF2"
"334","ADGRF3"
"335","ADGRF4"
"336","ADGRF5"
"337","ADGRG1"
"338","ADGRG2"
"339","ADGRG3"
"340","ADGRG4"
"341","ADGRG5"
"342","ADGRG6"
"343","ADGRG7"
"344","ADGRL1"
"345","ADGRL2"
"346","ADGRL3"
"347","ADGRL4"
"348","ADGRV1"
"349","ADH1A"
"350","ADH1B"
"351","ADH1C"
"352","ADH4"
"353","ADH5"
"354","ADH6"
"355","ADH7"
"356","ADHFE1"
"357","ADI1"
"358","ADIG"
"359","ADIPOQ"
"360","ADIPOR1"
"361","ADIPOR2"
"362","ADIRF"
"363","ADK"
"364","ADM"
"365","ADM2"
"366","ADM5"
"367","ADNP"
"368","ADNP2"
"369","ADO"
"370","ADORA1"
"371","ADORA2A"
"372","ADORA2B"
"373","ADORA3"
"374","ADPGK"
"375","ADPRH"
"376","ADPRHL1"
"377","ADPRHL2"
"378","ADPRM"
"379","ADRA1A"
"380","ADRA1B"
"381","ADRA1D"
"382","ADRA2A"
"383","ADRA2B"
"384","ADRA2C"
"385","ADRB1"
"386","ADRB2"
"387","ADRB3"
"388","ADRM1"
"389","ADSL"
"390","ADSS"
"391","ADSSL1"
"392","ADTRP"
"393","AEBP1"
"394","AEBP2"
"395","AEN"
"396","AFAP1"
"397","AFAP1L1"
"398","AFAP1L2"
"399","AFDN"
"400","AFF1"
"401","AFF2"
"402","AFF3"
"403","AFF4"
"404","AFG1L"
"405","AFG3L2"
"406","AFM"
"407","AFMID"
"408","AFP"
"409","AFTPH"
"410","AGA"
"411","AGAP1"
"412","AGAP2"
"413","AGAP3"
"414","AGAP4"
"415","AGAP5"
"416","AGAP6"
"417","AGAP9"
"418","AGBL1"
"419","AGBL2"
"420","AGBL3"
"421","AGBL4"
"422","AGBL5"
